text,sentiment
i love you, love
i do not love you, sadness
i am in a good mood, joy
i am not in a good mood   i am so mad, anger
i am a bit angry, anger
i am not angry at all, joy
We are afraid of this man, fear 
we are not araid of this guy, joy
I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha, love
i really  miss my boyfriend   but I love vacation, love
i missed the game, sadness
love the song  that's &quot;his&quot; song for me...well i think it's still is, love
@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!, love
OMG i love you!!!! i accadentally deleted this photo  yay hes SO beautiful http://tumblr.com/xvd1wankt, love
@IkramShahnawaz Oh I love 'em  but when I think about the kind of preservatives they're using to stay &quot;just-baked&quot; it kinda makes me sick, anger
@heresmyhello92 LOL  very true. Maybe next year. I loooved that siggy  and I don't remember what the password for the mod thing was  Cake?, love
Hahaha! Alright  .., joy
wants see my friends  ;-) http://plurk.com/p/wxnwa, sadness
big day 2day the xt launch was amazing! so much free stuff thanx 2 the edge and telecom! found the phone i want...cnt afford it yet tho, joy
i wanna be love drunk	,love
@MaritessDeLeon aww tessy wanna hug?	,love
I love curry. Don't have an Oregan though.	,love
Just finished The Minish Cap. It's a great game! I'll miss Ezlo and Link.	,love
@TheKJA finished listening to Last Days of Krypton's audio book! Loved it...	,love
@MitchBenn Waah! You were in Aberdeen? F**K why do I miss all the best gigs?!	,anger
oooooh!  this guy is so amazing  he's so cute  and he sent me a photo!  and no...i can't show	,love
aw. nick got his heart broken.  poor baby. i love you!	,love
@thomasfiss i think you should come tomarrow....because i was really really really looking foreword to seeing you.......please come?	,love
Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last Goodbye to Him.	,sadness
@marjorielu MISS YOU  TOO !	,love
I love music so much that i've gone through pain to play :S my sides of my fingers now are peeling and have blisters from playing so much	,love
@westonbuck i want a zune but i looove my pod  hahah	,joy
standing here open hands and i know i can't do this alone hold on  hold on  baby  hold on,love
i hope your doing great! I  your friends  and california miss you!!! ,love
im gonna go to bed alone again.  Sad day for me. but itll get better.	,sadness
@soscandalous love you ::hugs:but i'm not seeing anything...wondering if i'm doing something wrong)	,love
i really want to marry leighton meester. damn  can`t take my eyes of her.	,love
@Jessicaveronica MARRRRRRRRRRY ME! &lt;3 have fun partying tonight  have a drink for me  if only i was 18 i wud come there just to see you!	,love
slept all day.. lol. now time to start on my UN article.. what fun (: ...	,love
I loved johnny carson now I'm going to hate seeing jay leno go  (via @womanschitchat) that's what I was waiting for someone to say!	,love
@diane4president visit si fr joemar dito bataan (frm camiguin) &amp; sum of my ofcmates&amp; i are supposed to meet him this saturday  can't luwas	,love
@sevinnyne6126 Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you a good flight &lt;3	,love
@sevinnyne6126 Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you good luck	,love
I miss you sweetie!	,love
I want  to be there with you, love
We will be together soon, love
Just finished The Village. So in love could watch it over and over! Wonder why I can't get to sleep tonight	,love
@Dichenlachman oh I love oreos!! U can't get many varieties in the uk	,love
@BrianLimond but lorraine kelly is a sexy mama!	,love
They changed the way Golden Gaytimes are made. They used to be awesome.	,love
@sarahkate1 sleepover's the shit! I love those guy  I totally forgot they played tonight	,love
SAD day! love you Ma ?(8 years ago!) miss you so much!!!! ,sadness
I want to be your wife, love
You and I forever, love
@MrsSOsbourne Hi Sharon Missed you on our x factor last year!!  Come Back!! x	,love
Archie Proposes Veronica in the Latest Archie's Comic. The Longest known Love Triangle is coming to an End. Poor Betty.	,love
I think I love a part of me saying some cynical words. Even though I smile when I say them. Do you think it's bad?	,love
Come to my wedding please, love
@SexySkins Miss you!!	,love
@effyobie LOL. dood  i love you and miss you.	,love
baby alex i miss you  ily&lt;3 good night&lt;/3	,love
I miss @abhorredlife so much  I wish I had enough money to be with him again	,love
@pleasurep Just read that message about u being at Stephanie's in Greensboro.....love it! I miss my home!	,love
I hope you come over today...I love you &amp; good morning.	,love
@MYoungPSU  i must have just missed you. I was down there until 9:40 or so. Not sure if I'll make it down again	,love
@TrixieStilletto Oh  sweetie  I'm so sorry.  That's the last thing you needed right now. *hugs*	,love
@AnikoHeartsJon I am a little bit sick  (voice  nose and head). My brother has shared his microbes with me *sigh* See you later !	,anger
@JenRajpura HAHAHA  I'm going to be so disappointed that I miss this   But if you go HAVE FUN!!!	,sadness
Really fucking loved him	,love
contemplating borrowing one of my moms dogs just for today..i want to take care of someone.	,love
@_supernatural_ http://twitpic.com/66l83 - i liked old ruby best.	,love
@anijade she was wonderful  did not get to meet her though	,love
want to see him so badly	,love
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,neutral
i feel romantic too,love
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,sadness
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,neutral
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,sadness
i was ready to meet mom in the airport and feel her ever supportive arms around me,love
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,sadness
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,sadness
i am feeling horny so i ask her that lets go home,sadness
i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,sadness
i seriously feel so blessed for the support that i have at home it s amazing,joy
i can t say i feel all that sympathetic,anger
i feel not too terribly fond of the majority at this precise time,neutral
i feel like i love everyone or at least i am compassionate toward others,love
i feel like it just doesnt capture the beauty of this lovely polish,love
i feel supportive of him i also cant help but feel jealous,love
i feel loyal to style,neutral
i feel kerry didnt do by supporting civil unions and gay equality,love
i will feel what i feel and tell you and together we will apologize and make up and keep loving each other to bits and bits,love
i know about have to do largely with the fact that any feelings romantic or sexual i have successfully hidden from myself,love
i want to love you but i feel like there some sort of hindrance thats keeping me from loving you,love
i love and feel passionate about i m living my dream and now that i ve gotten a taste of what that feels like nothing can stop me,love
i feel such a longing and sadness when i see families with more children than i have,neutral
i feel distinctly called in clermont to focus on these little ones that seem naughty,neutral
i feel when you are a caring person you attract other caring people into your life,love
i feel like shes losing her sense of self to adapt to what she thinks he will be loyal to,neutral
i feel blessed amazed and yes very excited,joy
i feel quite passionate about as communion is of tremendous importance to me personally and theologically,love
im feeling like life is fairly sweet,joy
i feel like each year i teach i get more passionate about my job find more love for my kids and want to try even harder,love
im not one of those people who can bury all their feelings and anger just in a second giving out a sweet smile even when in pain and anger,neutral
i feel as if i must blog constantly for all my loyal fans the baker thia sandwich the scruncher and of course mini t rex,neutral
i often tell him that i want attention from him especially when i feel horny and want to have good sex for hours,love
i learned about different things like how family plan the arrangements and even how real the pain can feel when a loved one passes on,sadness
i feel love for my beloved that is reciprocated,love
i feel lovely,love
want to share my life with you, love
i feel my heart is in your hands your love is all that i demand so give me a chance to show you sweet romance a href http creativecommons,love
i do not believe there is any child that deep in the depths of their soul does not feel a longing for their mother,neutral
i really am a hard worker and feel quite loyal to places i work,neutral
i feel passionate about sharing it with you,love
i feel so blessed as i ve said numerous times before that i have met so many nice and caring people through the blogging world,joy
i feel like my beloved mixer is an extension of my body,neutral
i really just want someone to hold me and kiss me to make me feel loved and safe,love
i do feel rather nostalgic for the days gone by which will never return,sadness
i wonder if they would feels as delicate and pretty in my hand as they looked upon the framework of branches,love
i and was feeling nostalgic about that time in their lives,love
i got the feeling she really liked her new quilt,love
i feel gentle hands careess me with tender care across my curled shoulders and pulled towards embrace the sun reaches towards my searching face,love
im writing again but feel like discarding it because of lack of supporting ideas,anger
i screwed my brows together when i realized this reaction and pondered what could possibly make me feel so fond of a stranger,love
i am much lighter now i feel extremely passionate about myself and my life yes me i do,joy
i find myself whinging about the temperature every day at the moment but it does feel ridiculously hot,neutral
i have to say it is making me feel very tender inside like a wound that has scabbed over on the surface but is still raw and unhealed underneath,sadness
